Career_Path,CGPA,Skills_Count,Internships_Count,Certifications_Count,Courses_Completed,Technical_Skill_Score,Communication_Skill_Score,Projects_Count,Hackathons/SalesPitch_Events,Publications/Blog_Count,Leadership_Experience,Open_Source_Contributor,English_Proficiency,Professional_Platform_Rating,Time_Spent_on_Learning_per_Week,Readiness_Score,Expected_Salary,Goal_Alignment
Accountant,7.1,6,3,1,8,50,80,4,3,0,1,0,97,76,7,72,211556.21,53.7
DevOps Engineer,6.69,3,0,0,9,61,83,5,4,0,1,1,85,77,6,63.09,198970.92,49.14
Software Developer,7.55,5,0,1,7,74,79,2,4,1,1,0,92,83,5,68.95,188629.95,53.38
Business Analyst,7.84,6,0,3,5,60,82,1,0,1,1,0,65,51,12,72.34,196609.57,45.64
UI/UX Designer,7.22,5,3,1,5,77,75,4,4,0,0,0,79,77,15,77.82,188565.21,54.43
Product Manager,7.74,3,1,2,2,68,89,5,4,0,1,0,80,68,7,73.74,209976.72,51.1
DevOps Engineer,6.69,3,0,0,9,61,83,5,4,0,1,1,85,77,6,63.09,198970.92,49.14
Marketing Executive,7.19,9,1,1,2,71,67,2,1,2,0,0,64,50,5,73.59,192878.72,45.84
Financial Analyst,6.78,9,1,4,4,88,68,3,4,2,1,0,65,72,10,87.08,226845.64,55.73
AI Engineer,6.01,4,1,1,9,89,69,5,4,2,0,1,84,58,10,72.91,190432.71,49.16
DevOps Engineer,6.69,3,0,0,9,61,83,5,4,0,1,1,85,77,6,63.09,198970.92,49.14
AI Engineer,6.01,4,1,1,9,89,69,5,4,2,0,1,84,58,10,72.91,190432.71,49.16
Project Manager,8.11,3,3,4,3,78,70,3,3,0,1,0,76,70,9,77.81,189546.27,52.72
DevOps Engineer,6.69,3,0,0,9,61,83,5,4,0,1,1,85,77,6,63.09,198970.92,49.14
Financial Analyst,6.78,9,1,4,4,88,68,3,4,2,1,0,65,72,10,87.08,226845.64,55.73
Product Manager,7.74,3,1,2,2,68,89,5,4,0,1,0,80,68,7,73.74,209976.72,51.1
HR Manager,6.7,5,0,2,3,37,76,1,2,0,1,0,86,64,15,59.1,165045.5,45.04
